iter	Passed	Remaining
591	19604	13477
592	19631	13440
593	19659	13404
594	19683	13364
595	19710	13328
596	19736	13290
597	19762	13252
598	19791	13216
599	19817	13178
600	19844	13141
601	19869	13103
602	19898	13067
603	19924	13029
604	19950	12992
605	19976	12955
606	20002	12917
607	20026	12878
608	20053	12842
609	20086	12809
610	20121	12777
611	20154	12744
612	20179	12707
613	20210	12672
614	20236	12635
615	20265	12600
616	20290	12562
617	20317	12525
618	20341	12487
619	20370	12452
620	20398	12416
621	20422	12378
622	20451	12343
623	20476	12305
624	20503	12269
625	20526	12230
626	20553	12194
627	20579	12157
628	20610	12123
629	20636	12086
630	20662	12050
631	20690	12015
632	20718	11979
633	20744	11942
634	20773	11908
635	20802	11873
636	20828	11836
637	20856	11801
638	20883	11765
639	20912	11730
640	20940	11695
641	20968	11660
642	20997	11625
643	21023	11589
644	21051	11554
645	21090	11524
646	21122	11491
647	21158	11460
648	21217	11442
649	21313	11443
650	21376	11426
651	21458	11420
652	21519	11402
653	21549	11368
654	21580	11333
655	21616	11302
656	21648	11269
657	21680	11235
658	21716	11204
659	21750	11171
660	21780	11137
661	21815	11105
662	21846	11071
663	21875	11036
664	21904	11001
665	21933	10966
666	21960	10930
667	21986	10894
668	22012	10858
669	22041	10823
670	22071	10789
671	22099	10753
672	22126	10718
673	22162	10686
674	22198	10655
675	22236	10624
676	22265	10590
677	22295	10556
678	22326	10522
679	22356	10487
680	22389	10455
681	22424	10423
682	22460	10391
683	22492	10358
684	22535	10330
685	22566	10296
686	22611	10268
687	22659	10243
688	22708	10217
689	22756	10190
690	22796	10160
691	22827	10127
692	22854	10091
693	22879	10055
694	22916	10024
695	22956	9993
696	22995	9963
697	23031	9931
698	23075	9903
699	23109	9871
700	23140	9837
701	23172	9803
702	23212	9773
703	23250	9742
704	23281	9709
705	23316	9676
706	23351	9644
707	23387	9612
708	23427	9582
709	23467	9552
710	23502	9519
711	23536	9487
712	23570	9454
713	23602	9421
714	23634	9387
715	23662	9352
716	23695	9319
717	23727	9286
718	23767	9255
719	23796	9221
720	23826	9186
721	23867	9156
722	23894	9121
723	23921	9086
724	23954	9053
725	23984	9018
726	24011	8983
727	24043	8950
728	24072	8915
729	24100	8881
730	24130	8846
731	24154	8810
732	24182	8775
733	24208	8739
734	24238	8705
735	24269	8672
736	24293	8636
737	24322	8601
738	24348	8566
739	24376	8531
740	24407	8498
741	24457	8471
742	24490	8438
743	24523	8405
744	24555	8372
745	24609	8346
746	24663	8320
747	24709	8291
748	24769	8267
749	24803	8234
750	24834	8201
751	24864	8166
752	24894	8132
753	24921	8097
754	24949	8063
755	24978	8028
756	25005	7993
757	25037	7960
758	25077	7929
759	25110	7896
760	25141	7862
761	25168	7828
762	25197	7793
763	25227	7759
764	25257	7725
765	25286	7691
766	25316	7657
767	25347	7624
768	25376	7589
769	25405	7555
770	25436	7522
771	25468	7488
772	25497	7454
773	25526	7420
774	25556	7386
775	25581	7351
776	25611	7317
777	25642	7284
778	25671	7250
779	25702	7216
780	25733	7182
781	25761	7148
782	25788	7113
783	25816	7079
784	25845	7045
785	25871	7010
786	25901	6977
787	25929	6943
788	25957	6908
789	25982	6873
790	26009	6839
791	26036	6804
792	26068	6771
793	26099	6738
794	26127	6704
795	26154	6670
796	26181	6635
797	26211	6602
798	26240	6568
799	26268	6534
800	26294	6499
801	26325	6466
802	26355	6433
803	26381	6398
804	26412	6365
805	26439	6331
806	26467	6297
807	26493	6262
808	26525	6229
809	26561	6197
810	26592	6164
811	26625	6131
812	26654	6098
813	26682	6064
814	26711	6030
815	26741	5997
816	26770	5963
817	26793	5928
818	26825	5895
819	26854	5862
820	26883	5828
821	26912	5795
822	26943	5761
823	26970	5727
824	26996	5693
825	27034	5662
826	27058	5627
827	27085	5593
828	27115	5560
829	27142	5526
830	27170	5492
831	27196	5458
832	27227	5425
833	27253	5391
834	27280	5358
835	27305	5323
836	27336	5290
837	27366	5257
838	27392	5223
839	27421	5190
