iter	Passed	Remaining
945	43226	2467
946	43271	2421
947	43380	2379
948	43500	2337
949	43596	2294
950	43643	2248
951	43690	2202
952	43738	2157
953	43774	2110
954	43812	2064
955	43848	2018
956	43892	1972
957	43973	1927
958	44017	1881
959	44089	1837
960	44182	1793
961	44260	1748
962	44320	1702
963	44380	1657
964	44442	1611
965	44507	1566
966	44549	1520
967	44634	1475
968	44724	1430
969	44780	1384
970	44834	1339
971	44885	1292
972	44941	1247
973	45037	1202
974	45117	1156
975	45214	1111
976	45268	1065
977	45337	1019
978	45379	973
979	45418	926
980	45456	880
981	45495	833
982	45530	787
983	45563	740
984	45592	694
985	45620	647
986	45652	601
987	45684	554
988	45728	508
989	45854	463
990	45894	416
991	45945	370
992	45975	324
993	46004	277
994	46035	231
995	46067	185
996	46107	138
997	46135	92
998	46162	46
999	46192	0
